Estacion: Ruta Provincial Nº 157 - rio Chico,,,,
Parametro: Aforos,,,,
,water level,Discharge,Coarse flow ,Fine flow
Fecha y Hora,Altura Escala [m],Caudal Liquido [m3/s],Caudal Solido Grueso [kg/s],Caudal Solido Fino [kg/s]
02/07/2008 12:00:00 p.m.,"1,34","11,472","2,738","5,043"
12/08/2008 11:30:00 a.m.,"1,26","7,065","0,089","0,224"
02/09/2008 11:00:00 a.m.,"1,23","5,839","0,057","0,157"
02/10/2008 11:35:00 a.m.,"1,18","4,173","0,025","0,07"
23/10/2008 10:30:00 a.m.,"1,34","10,68","0,293","1,498"
06/11/2008 12:30:00 p.m.,"1,23","5,788","0,146","0,519"
14/11/2008 08:30:00 a.m.,"1,25","6,049","0,295","0,72"
21/11/2008 09:00:00 a.m.,"1,22","5,35","0,04","0,309"
27/11/2008 05:00:00 p.m.,"1,22","5,494","0,189","0,553"
02/12/2008 09:30:00 a.m.,"1,76","23,93","0,465","5,246"
05/12/2008 08:40:00 a.m.,"1,46","21,261","28,7","23,628"
10/12/2008 08:40:00 a.m.,"1,31","9,843","0,124","0,619"
11/12/2008 01:30:00 p.m.,"1,87","48,475","5,494","26,933"
16/12/2008 12:10:00 p.m.,"1,57","25,662","126,522","4,702"
18/12/2008 05:00:00 p.m.,"1,44","19,841","3,402","6,548"
22/12/2008 11:30:00 a.m.,"1,56","27,639","2,62","6,056"
29/12/2008 04:15:00 p.m.,"1,48","21,46","0,864","3,095"
06/01/2009 09:30:00 a.m.,"1,4","17,255","0,193","1,868"
08/01/2009 01:00:00 p.m.,"1,35","13,286","0,296","1,153"
12/01/2009 05:00:00 p.m.,"1,34","13,281","0,728","1,56"
15/01/2009 03:30:00 p.m.,"1,34","13,055","1,066","1,252"
19/01/2009 03:30:00 p.m.,"1,7","35,977","1,014","28,169"
23/01/2009 09:00:00 a.m.,"1,39","14,517","0,176","2,349"
27/01/2009 11:00:00 a.m.,"1,48","20,004","1,719","15,3"
29/01/2009 10:30:00 a.m.,"1,655","30,706","1,709","17,615"
02/02/2009 10:35:00 a.m.,"1,41","16,32","0,221","3,264"
05/02/2009 10:30:00 a.m.,"1,42","15,943","0,211","2,673"
10/02/2009 11:00:00 a.m.,"1,66","34,012","1,547","7,649"
12/02/2009 03:30:00 p.m.,"1,65","34,8","1,139","7,751"
17/02/2009 09:00:00 a.m.,"1,55","32,644","1,214","34,88"
19/02/2009 04:30:00 p.m.,"1,5","22,341","0,634","3,962"
23/02/2009 05:30:00 p.m.,"1,835","50,675","8,486","41,778"
26/02/2009 05:00:00 p.m.,"1,59","34,203","5,853","13,717"
03/03/2009 10:45:00 a.m.,"1,4","21,51","0,455","2,929"
05/03/2009 10:45:00 a.m.,"1,5","26,695","3,449","6,801"
11/03/2009 10:45:00 a.m.,"2,1","110,507","3,794","80,485"
12/03/2009 10:15:00 a.m.,"1,825","67,826","8,141","40,707"
16/03/2009 03:20:00 p.m.,"1,5","29,667","2,059","4,189"
19/03/2009 03:10:00 p.m.,"1,42","23,076","1,268","2,504"
26/03/2009 10:30:00 a.m.,"1,64",40,"3,162","8,121"
27/03/2009 10:15:00 a.m.,"1,5","27,782","0,02","0,209"
06/04/2009 03:20:00 p.m.,"1,64","37,997","6,058","17,296"
13/04/2009 04:00:00 p.m.,"1,41","20,123","1,428","2,102"
16/04/2009 04:00:00 p.m.,"1,37","18,312","0,556","2,78"
20/04/2009 04:10:00 p.m.,"1,34","16,716","0,288","1,341"
06/05/2009 04:00:00 p.m.,"1,33","15,839","0,134","0,824"
04/06/2009 04:20:00 p.m.,"1,28","10,581","0,046","0,257"
02/07/2009 03:30:00 p.m.,"1,22","6,907","0,061","0,099"
11/08/2009 03:20:00 p.m.,"1,18","5,734","0,039","0,102"
15/09/2009 04:20:00 p.m.,"1,13","3,806","0,048","0,072"
09/10/2009 05:00:00 p.m.,"1,1","3,011","0,027","0,079"
22/10/2009 10:30:00 a.m.,"1,1","2,708","0,014","0,021"
06/11/2009 03:00:00 p.m.,"1,07","1,994","0,006","0,027"
09/11/2009 04:20:00 p.m.,"1,08","2,054","0,008","0,019"
16/11/2009 12:40:00 p.m.,"1,08","2,233","0,015","0,017"
23/11/2009 03:00:00 p.m.,"1,2","6,164","0,021","0,162"
01/12/2009 03:20:00 p.m.,"1,65","36,262","1,603","33,545"
07/12/2009 03:40:00 p.m.,"1,605","30,578","1,023","7,95"
10/12/2009 03:50:00 p.m.,"1,36","15,779","0,186","1,835"
16/12/2009 04:00:00 p.m.,"1,35","13,674","1,277","2,596"
07/01/2010 04:40:00 p.m.,"2,185","97,911","8,771","172,739"
13/01/2010 04:00:00 p.m.,"2,17","96,618","8,009","139,03"
22/01/2010 10:20:00 a.m.,"1,34","18,584","1,506","2,52"
27/01/2010 10:00:00 a.m.,"1,28","14,965","0,504","2,275"
03/02/2010 04:10:00 p.m.,"1,38","17,113","3,939","10,703"
10/02/2010 03:40:00 p.m.,"1,35","18,018","1,945","1,865"
17/02/2010 03:00:00 p.m.,"1,72","31,228","2,639","8,289"
25/02/2010 03:45:00 p.m.,"2,255","126,942","111,369","375,561"
03/03/2010 04:00:00 p.m.,"1,56","18,45","1,21","3,529"
05/03/2010 03:10:00 p.m.,"1,57","19,052","2,088","4,464"
09/03/2010 02:30:00 p.m.,"1,41","11,575","0,681","1,433"
12/03/2010 03:20:00 p.m.,"1,66","20,306","1,386","3,823"
15/03/2010 03:30:00 p.m.,"1,78","25,848","2,26","5,307"
19/03/2010 05:50:00 p.m.,"1,81","26,521","2,338","5,109"
23/03/2010 04:50:00 p.m.,"1,9","36,73","3,044","7,692"
26/03/2010 03:00:00 p.m.,"1,93","39,621","3,356","10,284"
06/04/2010 03:40:00 p.m.,"1,83","32,615","1,874","5,168"
09/04/2010 02:30:00 p.m.,"1,64","20,835","1,392","1,398"
12/04/2010 03:10:00 p.m.,"1,53","16,532","0,79","1,427"
15/04/2010 03:30:00 p.m.,"1,67","22,577","1,838","3,257"
05/05/2010 03:10:00 p.m.,"1,33","12,499","0,151","0,628"
04/06/2010 10:40:00 a.m.,"1,23","11,849","0,242","0,547"
02/07/2010 01:30:00 p.m.,"1,18","6,834","0,267","0,264"
05/08/2010 02:20:00 p.m.,"1,15","7,044","0,245","0,2"
10/09/2010 01:00:00 p.m.,"1,11","6,279","0,1","0,139"
06/10/2010 04:00:00 p.m.,"1,07","5,15","0,036","0,111"
20/10/2010 04:20:00 p.m.,"1,11","5,583","0,228","0,22"
02/11/2010 04:40:00 p.m.,"1,09","5,058","0,158","0,091"
11/11/2010 02:15:00 p.m.,"1,06","3,008","0,032","0,064"
15/11/2010 11:20:00 a.m.,"1,02","2,411","0,054","0,064"
24/11/2010 03:00:00 p.m.,"1,08","3,457","0,057","0,126"
01/12/2010 03:00:00 p.m.,"1,15","5,931","0,104","0,42"
06/12/2010 10:00:00 a.m.,"1,15","6,314","0,155","0,596"
09/12/2010 12:30:00 p.m.,"1,16","6,496","0,122","0,476"
13/12/2010 09:30:00 a.m.,"1,11","5,329","0,039","0,198"
16/12/2010 03:20:00 p.m.,"1,1","5,127","0,086","0,163"
20/12/2010 11:50:00 a.m.,"1,04","3,734","0,178","0,239"
23/12/2010 03:10:00 p.m.,"1,02","2,734","0,142","0,143"
28/12/2010 12:30:00 p.m.,"1,11","4,978","0,079","0,345"
