Estacion: Ruta Provincial Nº 157 - rio Chico,,,,
Parametro: Aforos,,,,
,water level,Discharge,Coarse flow ,Fine flow
Fecha y Hora,Altura Escala [m],Caudal Liquido [m3/s],Caudal Solido Grueso [kg/s],Caudal Solido Fino [kg/s]
27/01/2015 10:50:00 a.m.,"1,29","38,685","2,767","13,553"
29/01/2015 10:45:00 a.m.,"1,3","35,681","9,324","72,947"
03/02/2015 10:40:00 a.m.,"1,82","100,107","26,291","39,685"
05/02/2015 10:20:00 a.m.,"1,48","56,496","6,05","76,968"
09/02/2015 10:40:00 a.m.,"1,38","49,806","6,465","31,416"
13/02/2015 10:50:00 a.m.,"1,23","33,862","2,773","10,96"
16/02/2015 10:30:00 a.m.,2,"107,976","41,367","122,313"
20/02/2015 10:50:00 a.m.,"1,63","75,363","6,37","68,279"
23/02/2015 10:35:00 a.m.,"1,54","60,35","6,895","17,856"
26/02/2015 11:00:00 a.m.,"1,9","102,945","12,118","347,459"
03/03/2015 10:55:00 a.m.,"1,99","112,289","3,141","72,34"
06/03/2015 10:40:00 a.m.,"1,83","92,204","14,926","73,385"
09/03/2015 12:10:00 p.m.,"2,11","118,908","8,254","77,066"
13/03/2015 11:20:00 a.m.,"1,8","97,248","16,638","134,796"
16/03/2015 11:00:00 a.m.,"1,89","108,758","17,087","54,687"
20/03/2015 11:10:00 a.m.,"1,79","99,115","24,215","120,683"
25/03/2015 10:30:00 a.m.,"1,64","72,379","24,366","22,699"
27/03/2015 10:50:00 a.m.,"1,73","81,642","9,642","57,373"
07/04/2015 11:10:00 a.m.,"1,28","39,193","2,128",17042
14/04/2015 11:10:00 a.m.,"1,44","52,288","7,211","36,716"
22/04/2015 11:00:00 a.m.,"1,29","40,373","3,337","10,608"
27/04/2015 01:40:00 p.m.,"1,19","26,667","1,774","6,576"
08/05/2015 11:00:00 a.m.,"1,17","26,336","0,931","3,913"
02/06/2015 10:50:00 a.m.,"1,08","19,517","0,44","1,572"
02/07/2015 12:30:00 p.m.,"0,95","11,839","0,258","0,636"
03/08/2015 12:50:00 p.m.,"0,88","8,183","0,121","0,327"
15/09/2015 04:30:00 p.m.,"0,86","7,716","0,07","0,208"
02/10/2015 11:30:00 a.m.,"0,89","8,66","2,938","1,365"
27/10/2015 11:40:00 a.m.,"0,86","6,787","3,463","0,954"
04/11/2015 12:00:00 p.m.,"1,25","31,164","1,207","4,423"
10/11/2015 11:50:00 a.m.,"1,15","24,644","2,543","6,575"
16/11/2015 11:45:00 a.m.,"1,04","17,78","1,033","2,58"
23/11/2015 12:00:00 p.m.,"0,92","10,608","0,389","1,359"
02/12/2015 11:55:00 a.m.,"0,99","16,032","0,672","1,851"
04/12/2015 11:30:00 a.m.,"0,97","13,274","0,513","6,593"
07/12/2015 11:20:00 a.m.,"1,21","30,059","4,04","22,664"
09/12/2015 11:15:00 a.m.,"1,18","27,696","1,144","13,777"
14/12/2015 11:15:00 a.m.,"0,96","12,595","0,39","4,816"
21/12/2015 11:10:00 a.m.,"1,09","20,85","2,334","14,369"
23/12/2015 11:15:00 a.m.,"1,01","15,593","6,022","10,685"
28/12/2015 11:10:00 a.m.,"1,16","25,994","1,815","19,33"
04/01/2016 11:30:00 a.m.,"1,35","43,911","4,397","13,531"
07/01/2016 04:30:00 p.m.,"1,73","88,095","88,713","210,315"
11/01/2016 04:15:00 p.m.,"1,87","96,749","95,131","189,377"
14/01/2016 04:25:00 p.m.,"1,95","106,41","150,12","315,161"
18/01/2016 12:05:00 p.m.,"1,45","53,404","10,932","35,152"
21/01/2016 04:30:00 p.m.,"1,18","28,845","1,731","0,167"
25/01/2016 11:50:00 a.m.,"1,06","19,185","0,981","1,201"
27/01/2016 03:15:00 p.m.,"1,04","17,659","0,805","1,109"
20/02/2016 10:00:00 a.m.,"2,1","125,527","16,141","165,496"
23/02/2016 10:20:00 a.m.,"1,55","61,947","8,938","55,141"
26/02/2016 11:30:00 a.m.,"2,08","121,309","12,006","135,39"
29/02/2016 10:30:00 a.m.,"1,51","59,983","9,082","45,528"
02/03/2016 10:40:00 a.m.,"1,85","108,81","2,228","4,562"
09/03/2016 12:40:00 p.m.,"2,03","113,194","2,443","18,631"
15/03/2016 12:00:00 p.m.,"1,31","41,232","5,739","8,367"
19/03/2016 12:20:00 p.m.,"1,77","83,771","3,336","6,026"
21/03/2016 12:15:00 p.m.,"1,37","46,557","5,705","8,951"
25/03/2016 01:35:00 p.m.,"1,22","30,823","1,017","4,087"
29/03/2016 12:05:00 p.m.,"1,16","25,738","2,087","2,579"
30/03/2016 12:45:00 p.m.,"1,14","23,399","6,105","5,122"
26/04/2016 12:10:00 p.m.,"1,53","60,577","0,77","4,744"
03/05/2016 11:10:00 a.m.,"1,07","18,53","5,556","2,796"
14/06/2016 01:30:00 p.m.,"1,11","23,976","2,417","5,425"
05/07/2016 11:50:00 a.m.,"1,06","18,467","0,914","5,788"
09/08/2016 03:20:00 p.m.,"0,87","6,267","0,723","1,143"
27/09/2016 05:10:00 p.m.,"0,81","3,772","0,052","0,104"
04/10/2016 04:35:00 p.m.,"0,84","4,751","0,209","0,599"
25/10/2016 10:10:00 a.m.,"0,95","10,467","0,833","1,359"
03/11/2016 04:30:00 p.m.,"0,8","3,466","0,133","1,184"
08/11/2016 10:00:00 a.m.,"0,76","2,218","0,419","1,585"
14/11/2016 03:30:00 p.m.,"0,73","1,683","0,074","0,229"
24/11/2016 03:15:00 p.m.,"0,73","1,755","0,256","0,397"
01/12/2016 04:45:00 p.m.,"1,16","28,902","3,651","12,567"
03/12/2016 04:25:00 p.m.,"1,01","14,702","1,226","5,905"
06/12/2016 04:30:00 p.m.,"0,93","10,088","1,613","4,351"
09/12/2016 08:15:00 a.m.,"1,44","65,48","10,304","30,839"
12/12/2016 04:00:00 p.m.,"1,09","21,105","1,313","8,637"
17/12/2016 10:30:00 a.m.,"0,92","9,018","0,487","3,308"
23/12/2016 05:00:00 p.m.,"0,81","4,157","0,193","1,739"
28/12/2016 04:45:00 p.m.,"0,88","7,203","0,441","2,995"
02/01/2017 05:25:00 p.m.,"0,89","8,011","0,258","2,197"
05/01/2017 05:00:00 p.m.,"0,91","9,39","0,509","4,032"
13/01/2017 05:05:00 p.m.,"1,27","36,841","2,164","16,349"
16/01/2017 02:30:00 p.m.,"1,46","62,241","3,117","18,985"
20/01/2017 03:45:00 p.m.,"0,99","13,452","4,167","5,765"
23/01/2017 03:45:00 p.m.,"1,56","78,204","11,609","38,531"
25/01/2017 05:00:00 p.m.,"1,07","22,367","2,199","10,09"
27/01/2017 05:00:00 p.m.,"0,98","13,509","1,888","20,372"
01/02/2017 04:40:00 p.m.,"0,95","11,07","0,935","2,81"
03/02/2017 04:00:00 p.m.,"0,93","9,931","0,084","0,174"
06/02/2017 03:55:00 p.m.,"1,09","22,252","0,427","0,697"
11/02/2017 04:20:00 p.m.,"1,7","88,009","1,037","5,182"
13/02/2017 03:50:00 p.m.,"1,64","81,837","1,299","8,645"
18/02/2017 04:30:00 p.m.,"0,97","12,484","0,789","1,757"
23/02/2017 04:30:00 p.m.,"1,1","23,504","0,625","3,029"
26/02/2017 05:05:00 p.m.,"1,75","94,308","1,446","10,502"
02/03/2017 04:45:00 p.m.,"1,12","25,879","1,185","21,195"
06/03/2017 05:00:00 p.m.,"1,4","55,326","4,366","120,212"
13/03/2017 03:45:00 p.m.,"1,5","66,271","5,905","74,805"
18/03/2017 03:45:00 p.m.,"2,06","130,218","14,945","142,274"
21/03/2017 02:30:00 p.m.,"1,22","38,41","4,428","28,536"
23/03/2017 02:50:00 p.m.,"2,28","154,611","8,032","70,943"
25/03/2017 05:05:00 p.m.,"1,42","58,827","5,404","36,454"
27/03/2017 04:30:00 p.m.,"2,11","134,828","13,988","104,934"
04/04/2017 03:40:00 p.m.,"2,21","144,995","16,188","20,283"
07/04/2017 03:15:00 p.m.,"1,54","69,992","10,171","9,837"
11/04/2017 03:50:00 p.m.,"1,37","48,262","3,251","10,676"
17/04/2017 03:25:00 p.m.,"1,16","28,231","3,337","16,905"
03/05/2017 05:25:00 p.m.,"1,02","16,906","0,181","0,234"
06/06/2017 01:25:00 p.m.,"1,05","18,202","1,443","2,645"
07/07/2017 03:50:00 p.m.,"0,98","13,646","3,617","2,017"
08/08/2017 03:30:00 p.m.,"0,93","9,232","0,145","0,385"
18/09/2017 03:35:00 p.m.,"0,88","6,22","0,185","0,318"
09/10/2017 04:40:00 p.m.,"0,84","3,987","0,261","0,739"
16/10/2017 04:30:00 p.m.,"0,9","7,126","0,357","0,997"
06/11/2017 04:30:00 p.m.,"1,01","15,83","0,111","6,142"
13/11/2017 04:15:00 p.m.,"0,96","11,241","0,706","5,616"
16/11/2017 04:20:00 p.m.,"0,86","4,918","0,431","2,419"
20/11/2017 04:15:00 p.m.,"0,93","9,086","0,046","3,814"
01/12/2017 03:30:00 p.m.,"1,1","22,771","16,265","19,392"
04/12/2017 03:40:00 p.m.,"1,16","27,722","48,293","76,914"
11/12/2017 04:00:00 p.m.,"1,12","24,489","3,886","6,694"
12/12/2017 04:25:00 p.m.,"1,12","24,873","0,365","3,129"
15/12/2017 03:20:00 p.m.,"1,09","20,821","0,524","3,524"
18/12/2017 04:30:00 p.m.,"1,24","35,645","0,864","6,961"
26/12/2017 05:00:00 p.m.,"1,28","40,655","1,769","17,383"
29/12/2017 04:45:00 p.m.,"1,17","28,943","5,655","11,957"
02/01/2018 03:35:00 p.m.,"1,17","30,969","22,859","21,856"
05/01/2018 04:00:00 p.m.,"1,09","23,01","0,634","2,648"
08/01/2018 04:30:00 p.m.,"1,14","26,715","1,51","3,48"
12/01/2018 04:15:00 p.m.,"1,03","18,177","0,766","2,118"
16/01/2018 05:00:00 p.m.,1,"14,567","1,209","1,785"
18/01/2018 04:35:00 p.m.,"1,15","29,046","0,925","3,01"
22/01/2018 05:05:00 p.m.,"1,09","22,92","15,761","3,006"
26/01/2018 05:00:00 p.m.,"1,3","43,791","1,25","5,503"
01/02/2018 03:45:00 p.m.,"1,72","92,417","1,338","12,614"
05/02/2018 04:00:00 p.m.,"1,04","17,684","0,157","2,401"
09/02/2018 04:10:00 p.m.,"1,19","30,542","0,194","3,725"
12/02/2018 03:45:00 p.m.,"1,19","32,271","2,069","4,262"
14/02/2018 04:45:00 p.m.,"1,14","28,376","0,47","4,218"
19/02/2018 02:45:00 p.m.,"0,99","14,869","0,137","1,842"
23/02/2018 04:15:00 p.m.,"1,21","34,176","0,213","4,747"
26/02/2018 05:10:00 p.m.,"1,08","22,613","1,836","3,258"
02/03/2018 04:30:00 p.m.,"1,36","51,178","3,976","5,504"
06/03/2018 03:00:00 p.m.,"1,08","21,798","0,477","1,944"
09/03/2018 04:50:00 p.m.,"1,19","29,215","1,932","2,935"
16/03/2018 05:20:00 p.m.,"1,18","30,267","2,5","3,064"
20/03/2018 05:20:00 p.m.,"1,08","22,112","1,469","2,05"
23/03/2018 02:45:00 p.m.,"1,06","19,354","1,999","1,645"
26/03/2018 03:40:00 p.m.,"1,26","36,619","6,755","3,452"
29/03/2018 04:05:00 p.m.,"1,16","26,241","5,284","2,421"
02/04/2018 03:45:00 p.m.,"0,94","11,297","50,767","0,808"
16/04/2018 04:05:00 p.m.,"1,13","25,49","14,586","0,616"
24/04/2018 04:15:00 p.m.,1,"15,747","17,455","0,595"
30/04/2018 04:05:00 p.m.,"1,07","19,79","0,184","0,716"
07/05/2018 04:00:00 p.m.,"2,5","184,608","133,505","1,273"
05/06/2018 04:15:00 p.m.,"1,08","21,931","0,86","1,44"
05/07/2018 03:05:00 p.m.,"1,04","18,962","7,148","1,466"
25/08/2018 01:50:00 p.m.,"0,89","7,094","0,301","0,207"
07/09/2018 04:15:00 p.m.,"0,8","3,623","0,019","0,036"
04/10/2018 05:20:00 p.m.,"0,88","7,199","1,148","4,388"
15/10/2018 04:30:00 p.m.,"0,97","13,057","0,98","6,314"
02/11/2018 04:10:00 p.m.,"1,18","31,45","1,294","3,283"
16/11/2018 03:00:00 p.m.,"1,37","48,051","1,663","4,884"
19/11/2018 04:20:00 p.m.,"1,28","41,374","2,901","4,408"
26/11/2018 05:25:00 p.m.,"1,19","30,997","1,716","3,133"
03/12/2018 03:50:00 p.m.,"1,12","27,061","0,597","3,539"
07/12/2018 04:00:00 p.m.,"1,44","54,847","13,021","6,996"
10/12/2018 04:00:00 p.m.,"1,27","41,038","34,43","5,44"
14/12/2018 03:35:00 p.m.,"1,23","36,445","16,264","4,383"
17/12/2018 04:35:00 p.m.,"1,18","29,68","4,387","3,83"
21/12/2018 04:10:00 p.m.,"1,27","40,105","6,236","5,793"
26/12/2018 04:05:00 p.m.,"1,47","58,872","7,64","8,556"
28/12/2018 03:55:00 p.m.,"1,35","48,005","4,988","6,768"
03/01/2019 04:05:00 p.m.,"1,19","34,118","0,58","4,716"
07/01/2019 03:25:00 p.m.,"1,89","102,845","0,325","14,193"
10/01/2019 03:20:00 p.m.,"1,39","52,415","0,236","7,146"
14/01/2019 04:20:00 p.m.,"1,56","64,878","0,615","8,81"
18/01/2019 04:10:00 p.m.,"1,41","54,027","6,878","7,626"
21/01/2019 04:05:00 p.m.,"1,27","39,894","0,228","5,787"
29/01/2019 04:05:00 p.m.,"1,34","46,187","0,125","6,391"
31/01/2019 04:25:00 p.m.,"1,21","35,478","0,864","5,108"
01/02/2019 03:30:00 p.m.,"1,19","31,658","1,5","4,141"
05/02/2019 03:50:00 p.m.,"1,15","28,684","1,837","3,72"
11/02/2019 10:30:00 a.m.,"1,1","24,142","2,712","2,549"
15/02/2019 03:35:00 p.m.,"1,17","30,102","3,431","3,854"
19/02/2019 03:30:00 p.m.,"1,15","28,875","3,482","3,455"
22/02/2019 03:40:00 p.m.,"1,13","26,716","2,997","3,043"
25/02/2019 03:25:00 p.m.,"1,1","25,131","1,856","2,757"
28/02/2019 03:30:00 p.m.,"1,07","22,798","1,532","2,858"
01/03/2019 03:45:00 p.m.,"1,19","32,497","4,364","4,369"
05/03/2019 02:00:00 p.m.,"1,15","29,258","2,609","3,788"
08/03/2019 03:10:00 p.m.,"1,11","24,797","2,797","3,318"
11/03/2019 03:00:00 p.m.,"1,23","36,656","3,197","4,787"
13/03/2019 04:00:00 p.m.,"1,42","54,027","3,567","7,045"
16/03/2019 03:20:00 p.m.,"1,17","30,731","1,738","4,049"
18/03/2019 03:05:00 p.m.,"1,13","27,281","2,81","3,469"
25/03/2019 03:30:00 p.m.,"1,4","52,429","4,234","6,565"
01/04/2019 03:45:00 p.m.,"2,48","170,787","8,064","24,24"
10/04/2019 04:30:00 p.m.,"1,27","26,206","0,512","3,713"
18/04/2019 04:00:00 p.m.,"1,44","44,191","1,342","6,21"
30/04/2019 03:30:00 p.m.,"1,34","32,662","0,732","4,548"
16/05/2019 05:40:00 p.m.,"1,3","28,485","7,379","2,524"
18/06/2019 04:20:00 p.m.,"1,16","16,383","1,044","0,658"
03/07/2019 04:40:00 p.m.,"1,11","12,54","0,628","2,885"
14/08/2019 05:00:00 p.m.,"1,02","6,221","0,116","0,264"
20/09/2019 04:10:00 p.m.,"1,02","5,945","0,422","0,505"
10/10/2019 04:45:00 p.m.,"0,97","3,683","0,868","4,642"
30/10/2019 04:40:00 p.m.,"1,03","6,508","0,156","0,522"
01/11/2019 04:50:00 p.m.,"1,16","17,384","0,415","1,403"
04/11/2019 04:55:00 p.m.,"1,1","11,284","0,32","0,98"
08/11/2019 04:35:00 p.m.,"1,73","70,047","1,741","5,684"
15/11/2019 10:50:00 a.m.,"1,16","16,389","0,5","1,53"
02/12/2019 04:00:00 p.m.,"1,21","19,093",,
05/12/2019 04:05:00 p.m.,"1,2","18,399",,
10/12/2019 04:45:00 p.m.,"1,18","16,39",,
13/12/2019 12:55:00 p.m.,"1,33","28,586",,
16/12/2019 05:00:00 p.m.,"1,12","12,679",,
18/12/2019 01:50:00 p.m.,"1,25","22,778",,
24/12/2019 01:00:00 p.m.,"1,37","32,184",,
31/12/2019 12:35:00 p.m.,"1,25","22,778",,
02/01/2020 04:40:00 p.m.,"1,21","19,015",,
03/01/2020 04:00:00 p.m.,"1,2","18,356",,
06/01/2020 03:45:00 p.m.,"1,19","17,315",,
08/01/2020 03:30:00 p.m.,"1,17","16,709",,
14/01/2020 04:00:00 p.m.,"1,12","11,943",,
17/01/2020 04:00:00 p.m.,"1,09","11,386",,
29/01/2020 04:10:00 p.m.,"1,1","12,394",,
31/01/2020 03:50:00 p.m.,"1,08","10,334",,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
 ,,,,
